service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
38001,1,1,1,1,1,0,0,20120111,20120331
38002,1,1,1,1,0,0,0,20120111,20120331
38003,0,1,1,1,1,0,0,20120111,20120331
38004,0,1,1,1,1,0,0,20120111,20120331
38005,0,0,0,0,1,0,0,20120111,20120331
38006,0,0,0,0,0,1,0,20120111,20120331
38007,0,0,0,0,0,1,0,20120111,20120331
38008,0,0,0,0,0,0,1,20120111,20120331
38009,0,0,0,0,0,0,1,20120111,20120331
38010,0,0,1,1,1,1,0,20120111,20120331
38011,0,1,1,1,1,1,0,20120111,20120331
38012,0,1,1,1,1,1,0,20120111,20120331
38013,1,0,0,0,0,0,0,20120111,20120331
38014,1,0,0,0,0,0,0,20120111,20120331
38015,1,0,0,0,0,0,0,20120111,20120331
38016,0,1,0,0,0,0,0,20120111,20120331
38017,0,1,0,0,0,0,0,20120111,20120331
38018,1,0,1,1,1,0,0,20120111,20120331
38019,1,0,1,1,1,0,0,20120111,20120331
38020,0,0,1,0,0,0,0,20120111,20120331
38021,0,0,1,0,0,0,0,20120111,20120331
38022,1,1,0,1,1,0,0,20120111,20120331
38023,1,1,0,1,1,0,0,20120111,20120331
38024,0,0,0,1,0,0,0,20120111,20120331
38025,0,0,0,1,0,0,0,20120111,20120331
38026,1,1,1,0,1,0,0,20120111,20120331
38027,1,1,1,0,1,0,0,20120111,20120331
38028,0,1,1,0,0,0,0,20120111,20120331
38029,0,1,1,0,0,0,0,20120111,20120331
38030,1,0,0,1,1,0,0,20120111,20120331
38031,1,0,0,1,1,0,0,20120111,20120331
38032,1,1,0,0,1,0,0,20120111,20120331
38033,1,1,0,0,1,0,0,20120111,20120331
38034,1,1,1,1,1,0,1,20120111,20120331
38035,1,1,1,1,1,0,1,20120111,20120331
38036,1,1,1,1,1,1,0,20120111,20120331
38037,1,1,1,1,1,1,0,20120111,20120331
38038,1,1,1,1,1,1,0,20120111,20120331
102301,1,1,1,1,1,0,0,20120111,20120331
102302,1,1,1,1,0,0,0,20120111,20120331
102303,0,1,1,1,1,0,0,20120111,20120331
102304,0,1,1,1,1,0,0,20120111,20120331
102305,0,0,0,0,1,0,0,20120111,20120331
102306,0,0,0,0,0,1,0,20120111,20120331
102307,0,0,0,0,0,1,0,20120111,20120331
102308,0,0,0,0,0,0,1,20120111,20120331
102309,0,0,0,0,0,0,1,20120111,20120331
102310,0,0,1,1,1,1,0,20120111,20120331
102311,0,1,1,1,1,1,0,20120111,20120331
102312,0,1,1,1,1,1,0,20120111,20120331
102313,1,0,0,0,0,0,0,20120111,20120331
102314,1,0,0,0,0,0,0,20120111,20120331
102315,1,0,0,0,0,0,0,20120111,20120331
102316,0,1,0,0,0,0,0,20120111,20120331
102317,0,1,0,0,0,0,0,20120111,20120331
102318,1,0,1,1,1,0,0,20120111,20120331
102319,1,0,1,1,1,0,0,20120111,20120331
102320,0,0,1,0,0,0,0,20120111,20120331
102321,0,0,1,0,0,0,0,20120111,20120331
102322,1,1,0,1,1,0,0,20120111,20120331
102323,1,1,0,1,1,0,0,20120111,20120331
102324,0,0,0,1,0,0,0,20120111,20120331
102325,0,0,0,1,0,0,0,20120111,20120331
102326,1,1,1,0,1,0,0,20120111,20120331
102327,1,1,1,0,1,0,0,20120111,20120331
102328,0,1,1,0,0,0,0,20120111,20120331
102329,0,1,1,0,0,0,0,20120111,20120331
102330,1,0,0,1,1,0,0,20120111,20120331
102331,1,0,0,1,1,0,0,20120111,20120331
102332,1,1,0,0,1,0,0,20120111,20120331
102333,1,1,0,0,1,0,0,20120111,20120331
102334,1,1,1,1,1,0,1,20120111,20120331
102335,1,1,1,1,1,0,1,20120111,20120331
102336,1,1,1,1,1,1,0,20120111,20120331
102337,1,1,1,1,1,1,0,20120111,20120331
102338,1,1,1,1,1,1,0,20120111,20120331
