trip_id,start_time,end_time,headway_secs
19364519,4:15:00,06:59:59,900
19364444,7:00:00,08:59:59,600
19364542,9:00:00,13:59:59,900
19364562,14:00:00,17:59:59,600
19364583,18:00:00,21:59:59,900
19364433,4:15:00,06:59:59,900
19364529,7:00:00,08:59:59,600
19364455,9:00:00,13:59:59,900
19364475,14:00:00,17:59:59,600
19364497,18:00:00,21:59:59,900
19371387,4:15:00,04:44:59,1800
19371388,4:45:00,21:59:59,900
19368764,4:15:00,04:44:59,1800
19368765,4:45:00,21:59:59,900
19371428,4:15:00,04:44:59,1800
19371429,4:45:00,21:59:59,900
19368842,4:15:00,04:44:59,1800
19368843,4:45:00,21:59:59,900
15043698,5:00:00,05:59:59,900
15043701,6:00:00,08:29:59,450
15043710,8:30:00,14:59:59,600
15043760,15:00:00,18:29:59,450
15043774,18:30:00,21:59:59,600
15043808,22:00:00,25:00:00,900
15043574,5:00:00,05:59:59,900
15043577,6:00:00,08:29:59,450
15043597,8:30:00,14:59:59,600
15043636,15:00:00,18:29:59,450
15043664,18:30:00,21:59:59,600
15043683,22:00:00,25:00:00,900
15043089,5:00:00,07:59:59,900
15043100,8:00:00,21:59:59,600
15043185,22:00:00,25:00:00,900
15043193,5:00:00,07:59:59,900
15043204,8:00:00,21:59:59,600
15043288,22:00:00,25:00:00,900
15043438,6:00:00,07:59:59,900
15043445,8:00:00,21:59:59,600
15043529,22:00:00,24:00:00,900
15043340,6:00:00,07:59:59,900
15043349,8:00:00,21:59:59,600
15043433,22:00:00,24:00:00,900
19063598,06:00:00,21:59:59,900
19063668,22:00:00,23:59:59,1800
19063655,06:00:00,21:59:59,900
19063569,22:00:00,23:59:59,1800
19064522,06:00:00,21:59:59,900
19064520,22:00:00,23:59:59,1800
19064579,06:00:00,21:59:59,900
19064494,22:00:00,23:59:59,1800
19916060,04:20:00,05:59:59,900
19916064,06:00:00,08:59:59,600
19915842,09:00:00,14:59:59,900
19915866,15:00:00,17:59:59,600
19915874,18:00:00,19:59:59,900
19915888,20:00:00,23:59:59,1800
19915777,04:20:00,05:59:59,900
19915779,06:00:00,08:59:59,600
19915783,09:00:00,14:59:59,900
19915795,15:00:00,17:59:59,600
19915799,18:00:00,19:59:59,900
19915800,20:00:00,23:59:59,1800
