Route_Num_1,Route_Num_2,Stop_ID,Pattern_ID_1,Pattern_ID_2,change_num
3,3,,21003525,10003501,119
3,3,,20003006,21003521,119
2,3,,20002011,21003521,119
4,4,,20004005,21004511,119
213,213,,41213013,30213012,119
84,84,,11084015,20084006,119
10,12,1085,20010020,21012017,119
202,202,,21202082,10202061,119
131,24,30635,10131088,11024074,119
75,330,10860,31075145,31330005,119
49,7,1085,20049009,21007003,119
7,49,1500,10007008,11049005,119
48,48,,20048004,21048523,119
31,68,26368,40031038,11068058,119
67,65,9610,20067056,11065064,119
14,14,,20014005,21014537,119
68,31,75406,20068052,31031024,119
153,183,57459,21153016,21183032,119
55,55,,10055285,21055283,119
347,345,23273,20347011,11345006,119
164,164,,30164022,41164020,119
204,203,64140,10204013,41203033,119
203,203,,41203035,30203036,119
203,203,,41203031,30203037,119
118,118,,21118342,10118362,119
36,36,,21036378,10036374,119
5,54,7430,20005135,21054097,119
5,54,7430,20005133,21054097,119
11,125,1085,20011041,21125021,119
11,125,1085,20011041,21125024,119
28,23,18380,20028417,21023005,119
3,3,,10003501,11003012,119
3,4,,10003501,11004017,119
3,4,,10003501,11004019,119
48,48,,20048004,21048528,119
25,25,,11025054,20025051,119
54,5,19940,10054092,11005144,119
54,5,19940,10054109,11005145,119
54,5,19940,10054092,11005145,119
5,54,7430,20005136,21054114,119
26,124,18380,20026028,21124031,119
43,43,,20043050,11043047,119
43,43,,20043049,11043047,119
24,131,20740,20024063,21131086,119
28,23,18380,20028493,21023007,119
57,15,,10057013,11015983,119
22,15,15290,10022085,11015984,119
22,18,15290,10022085,11018478,119
21,18,15290,10021355,11018478,119
23,28,30635,10023016,11028511,119
221,221,,21221091,10221087,119
14,14,,10014534,11014002,119
13,4,,20013020,21004511,119
53,53,,31053004,40053002,119
202,202,,21202081,10202061,119
131,24,30635,10131089,11024074,119
131,24,30635,10131078,11024074,119
131,24,30635,10131088,11024076,119
131,24,30635,10131079,11024076,119
37,25,15290,10037050,11025038,119
67,65,9610,20067057,11065066,119
44,43,10911,20044006,20043033,119
203,204,64140,30203001,21204015,119
99,99,,11099010,20099007,119
203,203,,41203033,30203037,119
44,43,10911,20044006,20043038,119
1,36,2672,20001018,21036378,119
48,48,,20048007,21048527,119
48,48,,20048006,21048527,119
42,42,,10042074,21042076,119
81,81,,11081004,20081007,119
24,131,20740,20024063,21131090,119
28,23,18380,20028417,21023007,119
168,168,,30168025,41168024,119
164,168,,30164022,41168024,119
129,129,,11129005,20129006,119
43,44,25751,11043048,11044011,119
122,121,190,10122015,21121081,119
25,25,,20025055,11025058,119
56,18,15290,10056079,11018477,119
23,28,30635,10023016,11028503,119
346,347,17024,20346008,11347009,119
18,18,,11018477,20018488,119
3,4,,10003501,11004004,119
48,48,,10048526,11048001,119
2,2,,11002021,20002011,119
125,11,15445,10125010,11011030,119
82,82,,11082004,20082005,119
85,85,,21085010,10085007,119
39,33,99267,10039407,11033026,119
132,24,30635,10132360,11024074,119
49,49,,11049006,20049008,119
31,68,26368,40031039,11068059,119
187,182,61332,10187008,21182008,119
182,182,,10182009,21182008,119
153,183,57459,21153016,21183033,119
25,37,910,20025051,21037038,119
192,600,,10192049,20600005,119
280,280,620,21280028,10280029,119
49,49,,11049007,20049014,119
238,236,74575,20238061,11236059,119
46,46,,40046046,31046047,119
213,204,64140,30213012,21204015,119
204,203,64140,10204017,41203033,119
203,203,,41203035,30203037,119
213,213,,41213013,30213014,119
28,23,18380,20028416,21023005,119
2,13,3037,10002521,11013018,119
4,13,12880,10004513,11013018,119
3,13,12880,10003501,11013018,119
26,124,18380,20026028,21124027,119
33,39,2220,20033049,21039409,119
48,48,,20048004,21048527,119
44,43,10911,20044006,20043050,119
48,48,,10048526,11048018,119
24,131,20740,20024061,21131091,119
38,38,,30038007,41038006,119
121,121,190,10121069,21121080,119
232,232,,30232098,41232105,119
347,346,23273,20347011,11346009,119
56,15,15290,10056079,11015983,119
23,28,30635,10023015,11028503,119
221,221,,10221089,21221090,119
51,51,,11051001,20051002,119
4,4,,10004513,11004004,119
3,3,,20003006,21003523,119
13,2,,20013020,21002511,119
4,2,,20004005,21002511,119
13,3,,20013020,21003521,119
4,4,,11004004,20004005,119
3,4,,20003006,21004511,119
36,1,3600,10036373,11001007,119
55,55,,21055283,10055001,119
125,11,15445,10125011,11011030,119
31,31,,31031024,40031039,119
132,24,30635,10132361,11024074,119
131,24,30635,10131081,11024074,119
131,24,30635,10131079,11024074,119
44,43,10911,20044009,20043030,119
7,49,1500,10007020,11049007,119
7,49,1500,10007019,11049007,119
18,7,,20018488,21007018,119
48,48,,20048006,21048523,119
31,68,26368,40031039,11068058,119
14,14,,20014005,21014538,119
187,187,,21187012,10187010,119
213,204,64140,30213014,21204015,119
203,204,64140,30203037,21204016,119
204,213,64140,10204013,41213013,119
55,55,,21055283,10055285,119
54,54,,21054099,10054092,119
11,125,1085,20011041,21125022,119
13,13,,11013017,20013020,119
4,3,,10004513,11003012,119
3,3,,10003505,11003012,119
54,5,19940,10054109,11005144,119
5,54,7430,20005133,21054114,119
27,17,27430,10027022,11017055,119
232,232,,30232099,41232104,119
124,26,30635,10124036,11026057,119
22,15,15290,10022085,11015982,119
56,18,15290,10056079,11018479,119
21,18,15290,10021354,11018479,119
