service_id, date, exception_type
S3, 20100101, 1
S4, 20100101, 1
S5, 20100101, 1
S8, 20100101, 1
S1, 20100101, 2
S2, 20100101, 2
S6, 20100101, 2
S7, 20100101, 2
S3, 20100531, 1
S4, 20100531, 1
S5, 20100531, 1
S8, 20100531, 1
S1, 20100531, 2
S2, 20100531, 2
S6, 20100531, 2
S7, 20100531, 2
S3, 20100704, 1
S4, 20100704, 1
S5, 20100704, 1
S8, 20100704, 1
S1, 20100704, 2
S2, 20100704, 2
S6, 20100704, 2
S7, 20100704, 2
S3, 20100705, 1
S4, 20100705, 1
S5, 20100705, 1
S8, 20100705, 1
S1, 20100705, 2
S2, 20100705, 2
S6, 20100705, 2
S7, 20100705, 2
S3, 20100906, 1
S4, 20100906, 1
S5, 20100906, 1
S8, 20100906, 1
S1, 20100906, 2
S2, 20100906, 2
S6, 20100906, 2
S7, 20100906, 2
S3, 20101125, 1
S4, 20101125, 1
S5, 20101125, 1
S8, 20101125, 1
S1, 20101125, 2
S2, 20101125, 2
S6, 20101125, 2
S7, 20101125, 2
S1, 20101224, 2
S2, 20101224, 2
S3, 20101224, 2
S4, 20101224, 2
S5, 20101224, 2
S6, 20101224, 2
S7, 20101224, 2
S8, 20101224, 2
S3, 20101225, 1
S4, 20101225, 1
S5, 20101225, 1
S8, 20101225, 1
S1, 20101225, 2
S2, 20101225, 2
S6, 20101225, 2
S7, 20101225, 2
S1, 20101231, 2
S2, 20101231, 2
S3, 20101231, 2
S4, 20101231, 2
S5, 20101231, 2
S6, 20101231, 2
S7, 20101231, 2
S8, 20101231, 2
S3, 20110101, 1
S4, 20110101, 1
S5, 20110101, 1
S8, 20110101, 1
S1, 20110101, 2
S2, 20110101, 2
S6, 20110101, 2
S7, 20110101, 2
S3, 20110530, 1
S4, 20110530, 1
S5, 20110530, 1
S8, 20110530, 1
S1, 20110530, 2
S2, 20110530, 2
S6, 20110530, 2
S7, 20110530, 2
S3, 20110704, 1
S4, 20110704, 1
S5, 20110704, 1
S8, 20110704, 1
S1, 20110704, 2
S2, 20110704, 2
S6, 20110704, 2
S7, 20110704, 2
S3, 20110905, 1
S4, 20110905, 1
S5, 20110905, 1
S8, 20110905, 1
S1, 20110905, 2
S2, 20110905, 2
S6, 20110905, 2
S7, 20110905, 2
S3, 20111124, 1
S4, 20111124, 1
S5, 20111124, 1
S8, 20111124, 1
S1, 20111124, 2
S2, 20111124, 2
S6, 20111124, 2
S7, 20111124, 2
S1, 20111224, 2
S2, 20111224, 2
S3, 20111224, 2
S4, 20111224, 2
S5, 20111224, 2
S6, 20111224, 2
S7, 20111224, 2
S8, 20111224, 2
S3, 20111225, 1
S4, 20111225, 1
S5, 20111225, 1
S8, 20111225, 1
S1, 20111225, 2
S2, 20111225, 2
S6, 20111225, 2
S7, 20111225, 2
S1, 20111231, 2
S2, 20111231, 2
S3, 20111231, 2
S4, 20111231, 2
S5, 20111231, 2
S6, 20111231, 2
S7, 20111231, 2
S8, 20111231, 2
S3, 20120102, 1
S4, 20120102, 1
S5, 20120102, 1
S8, 20120102, 1
S1, 20120102, 2
S2, 20120102, 2
S6, 20120102, 2
S7, 20120102, 2
S3, 20120528, 1
S4, 20120528, 1
S5, 20120528, 1
S8, 20120528, 1
S1, 20120528, 2
S2, 20120528, 2
S6, 20120528, 2
S7, 20120528, 2
S3, 20120704, 1
S4, 20120704, 1
S5, 20120704, 1
S8, 20120704, 1
S1, 20120704, 2
S2, 20120704, 2
S6, 20120704, 2
S7, 20120704, 2
S3, 20120903, 1
S4, 20120903, 1
S5, 20120903, 1
S8, 20120903, 1
S1, 20120903, 2
S2, 20120903, 2
S6, 20120903, 2
S7, 20120903, 2
S3, 20121122, 1
S4, 20121122, 1
S5, 20121122, 1
S8, 20121122, 1
S1, 20121122, 2
S2, 20121122, 2
S6, 20121122, 2
S7, 20121122, 2
S3, 20121225, 1
S4, 20121225, 1
S5, 20121225, 1
S8, 20121225, 1
S1, 20121225, 2
S2, 20121225, 2
S6, 20121225, 2
S7, 20121225, 2
S1, 20121231, 2
S2, 20121231, 2
S3, 20121231, 2
S4, 20121231, 2
S5, 20121231, 2
S6, 20121231, 2
S7, 20121231, 2
S8, 20121231, 2
S3, 20130101, 1
S4, 20130101, 1
S5, 20130101, 1
S8, 20130101, 1
S1, 20130101, 2
S2, 20130101, 2
S6, 20130101, 2
S7, 20130101, 2


