route_id, service_id, trip_id, trip_headsign, block_id, shape_id
BNSF, S1, BNSF_BN1200_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1202_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1204_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1206_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1208_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1210_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1212_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1214_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1216_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1218_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1220_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1222_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1224_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1226_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1228_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1230_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1232_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1234_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1236_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1238_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1240_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1242_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1244_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1246_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1248_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1250_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1252_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1254_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1256_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1258_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1260_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1262_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1264_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1266_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1268_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1270_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1272_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1274_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1276_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1280_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1288_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1292_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1294_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1296_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S1, BNSF_BN1298_V1, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1300_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1302_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S3, BNSF_BN1302_V7, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1304_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1306_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S3, BNSF_BN1306_V7, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1308_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1310_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S3, BNSF_BN1310_V7, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1312_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S2, BNSF_BN1314_V2, Chicago Union Station, , BNSF_IB_1
BNSF, S3, BNSF_BN1314_V7, Chicago Union Station, , BNSF_IB_1
